$Y:\mLB_TP2\08_Projektbearbeitung\utg\Pruefung\Druckproben\Druckversuch_DIN50106.zs2
Vorkraft                                500 N
Prüfgeschwindigkeit                     0.0067 1/s
Durchmesser                             9.95 mm
Probenhoehe                             13.99 mm
$
         Standardweg;       Standardkraft;           Pruefzeit
 2.498851120472e-001; 5.578379394531e+003; 3.580000638962e+000
 2.517173886299e-001; 5.600913085938e+003; 3.600000619888e+000
 2.536239624023e-001; 5.624162597656e+003; 3.620000600815e+000
 2.555058002472e-001; 5.647769531250e+003; 3.640000581741e+000
 2.573628425598e-001; 5.671733886719e+003; 3.660000562668e+000
 2.592694163322e-001; 5.696056152344e+003; 3.680000543594e+000
 2.611017227173e-001; 5.720736328125e+003; 3.700000524521e+000
 2.629835307598e-001; 5.746131347656e+003; 3.720000505447e+000
 2.648653388023e-001; 5.772242187500e+003; 3.740000724792e+000
 2.667719125748e-001; 5.798352539063e+003; 3.760000705719e+000
 2.686537206173e-001; 5.825536132813e+003; 3.780000686646e+000
 2.704612612724e-001; 5.852720214844e+003; 3.800000667572e+000
 2.723678350449e-001; 5.880261230469e+003; 3.820000648499e+000
 2.742248773575e-001; 5.907445312500e+003; 3.840000629425e+000
 2.760819494724e-001; 5.935701660156e+003; 3.860000610352e+000
 2.779389917850e-001; 5.963601074219e+003; 3.880000591278e+000
 2.797960340977e-001; 5.992573242188e+003; 3.900000572205e+000
 2.817521393299e-001; 6.021544921875e+003; 3.920000553131e+000
 2.836091816425e-001; 6.051590332031e+003; 3.940000534058e+000
 2.854910194874e-001; 6.081993164063e+003; 3.960000514984e+000
 2.873728275299e-001; 6.113111328125e+003; 3.980000495911e+000
 2.892298698425e-001; 6.143514160156e+003; 4.000000476837e+000
 2.911364436150e-001; 6.173916992188e+003; 4.020000457764e+000
 2.929687500000e-001; 6.204319824219e+003; 4.040000438690e+000
 2.948753237724e-001; 6.234364746094e+003; 4.060000419617e+000
 2.967323660851e-001; 6.264052246094e+003; 4.080000400543e+000
 2.986141741276e-001; 6.294812500000e+003; 4.100000381470e+000
 3.005455136299e-001; 6.327361816406e+003; 4.120000839233e+000
 3.023530542850e-001; 6.358479980469e+003; 4.140000820160e+000
